"9 * 176","9 * 176 = 1584"
"199 * 60","199 * 60 = 11940"
"77 * 127","77 * 127 = 9779"
"30 * 160","30 * 160 = 4800"
"6 * 86","6 * 86 = 516"
"100 * 14","100 * 14 = 1400"
"115 * 148","115 * 148 = 17020"
"47 * 116","47 * 116 = 5452"
"7 * 175","7 * 175 = 1225"
"185 * 48","185 * 48 = 8880"
"81 * 170","81 * 170 = 13770"
"77 * 107","77 * 107 = 8239"
"186 * 164","186 * 164 = 30504"
"39 * 144","39 * 144 = 5616"
"20 * 79","20 * 79 = 1580"
"115 * 111","115 * 111 = 12765"
"149 * 153","149 * 153 = 22797"
"36 * 121","36 * 121 = 4356"
"187 * 139","187 * 139 = 25993"
"137 * 158","137 * 158 = 21646"
"36 * 185","36 * 185 = 6660"
"39 * 123","39 * 123 = 4797"
"19 * 182","19 * 182 = 3458"
"124 * 78","124 * 78 = 9672"
"126 * 160","126 * 160 = 20160"
"50 * 78","50 * 78 = 3900"
"82 * 9","82 * 9 = 738"
"35 * 39","35 * 39 = 1365"
"28 * 94","28 * 94 = 2632"
"137 * 192","137 * 192 = 26304"
"126 * 12","126 * 12 = 1512"
"30 * 47","30 * 47 = 1410"
"6 * 106","6 * 106 = 636"
"50 * 140","50 * 140 = 7000"
"79 * 99","79 * 99 = 7821"
"61 * 169","61 * 169 = 10309"
"7 * 187","7 * 187 = 1309"
"185 * 153","185 * 153 = 28305"
"196 * 72","196 * 72 = 14112"
"42 * 124","42 * 124 = 5208"
"42 * 35","42 * 35 = 1470"
"114 * 18","114 * 18 = 2052"
"137 * 131","137 * 131 = 17947"
"80 * 73","80 * 73 = 5840"
"35 * 147","35 * 147 = 5145"
"61 * 23","61 * 23 = 1403"
"140 * 86","140 * 86 = 12040"
"185 * 151","185 * 151 = 27935"
"49 * 4","49 * 4 = 196"
"17 * 75","17 * 75 = 1275"
"129 * 106","129 * 106 = 13674"
"58 * 74","58 * 74 = 4292"
"59 * 82","59 * 82 = 4838"
"74 * 17","74 * 17 = 1258"
"148 * 123","148 * 123 = 18204"
"73 * 55","73 * 55 = 4015"
"196 * 60","196 * 60 = 11760"
"192 * 133","192 * 133 = 25536"
"17 * 146","17 * 146 = 2482"
"81 * 13","81 * 13 = 1053"
"179 * 43","179 * 43 = 7697"
"101 * 192","101 * 192 = 19392"
"162 * 25","162 * 25 = 4050"
"100 * 100","100 * 100 = 10000"
"16 * 14","16 * 14 = 224"
"89 * 194","89 * 194 = 17266"
"48 * 83","48 * 83 = 3984"
"184 * 67","184 * 67 = 12328"
"127 * 191","127 * 191 = 24257"
"21 * 120","21 * 120 = 2520"
"185 * 199","185 * 199 = 36815"
"58 * 19","58 * 19 = 1102"
"36 * 116","36 * 116 = 4176"
"45 * 133","45 * 133 = 5985"
"81 * 114","81 * 114 = 9234"
"27 * 15","27 * 15 = 405"
"163 * 21","163 * 21 = 3423"
"147 * 56","147 * 56 = 8232"
"35 * 198","35 * 198 = 6930"
"9 * 5","9 * 5 = 45"
"173 * 11","173 * 11 = 1903"
"113 * 37","113 * 37 = 4181"
"77 * 10","77 * 10 = 770"
"10 * 81","10 * 81 = 810"
"91 * 123","91 * 123 = 11193"
"195 * 56","195 * 56 = 10920"
"31 * 198","31 * 198 = 6138"
"5 * 37","5 * 37 = 185"
"128 * 63","128 * 63 = 8064"
"146 * 135","146 * 135 = 19710"
"83 * 163","83 * 163 = 13529"
"129 * 78","129 * 78 = 10062"
"129 * 141","129 * 141 = 18189"
"12 * 69","12 * 69 = 828"
"116 * 80","116 * 80 = 9280"
"33 * 34","33 * 34 = 1122"
"75 * 176","75 * 176 = 13200"
"51 * 52","51 * 52 = 2652"
"70 * 186","70 * 186 = 13020"
"101 * 30","101 * 30 = 3030"
"156 * 123","156 * 123 = 19188"
"12 * 183","12 * 183 = 2196"
"47 * 173","47 * 173 = 8131"
"14 * 23","14 * 23 = 322"
"153 * 145","153 * 145 = 22185"
"142 * 5","142 * 5 = 710"
"44 * 159","44 * 159 = 6996"
"141 * 71","141 * 71 = 10011"
"116 * 173","116 * 173 = 20068"
"113 * 109","113 * 109 = 12317"
"183 * 82","183 * 82 = 15006"
"189 * 75","189 * 75 = 14175"
"159 * 102","159 * 102 = 16218"
"69 * 45","69 * 45 = 3105"
"70 * 144","70 * 144 = 10080"
"181 * 156","181 * 156 = 28236"
"96 * 177","96 * 177 = 16992"
"166 * 28","166 * 28 = 4648"
"103 * 1","103 * 1 = 103"
"102 * 148","102 * 148 = 15096"
"8 * 153","8 * 153 = 1224"
"126 * 18","126 * 18 = 2268"
"186 * 26","186 * 26 = 4836"
"182 * 126","182 * 126 = 22932"
"119 * 40","119 * 40 = 4760"
"115 * 29","115 * 29 = 3335"
"86 * 6","86 * 6 = 516"
"15 * 90","15 * 90 = 1350"
"164 * 122","164 * 122 = 20008"
"83 * 87","83 * 87 = 7221"
"109 * 186","109 * 186 = 20274"
"17 * 133","17 * 133 = 2261"
"13 * 5","13 * 5 = 65"
"57 * 24","57 * 24 = 1368"
"83 * 91","83 * 91 = 7553"
"63 * 23","63 * 23 = 1449"
"81 * 16","81 * 16 = 1296"
"80 * 58","80 * 58 = 4640"
"54 * 54","54 * 54 = 2916"
"154 * 36","154 * 36 = 5544"
"6 * 198","6 * 198 = 1188"
"172 * 155","172 * 155 = 26660"
"116 * 109","116 * 109 = 12644"
"183 * 55","183 * 55 = 10065"
"79 * 128","79 * 128 = 10112"
"61 * 61","61 * 61 = 3721"
"94 * 148","94 * 148 = 13912"
"24 * 45","24 * 45 = 1080"
"132 * 123","132 * 123 = 16236"
"111 * 23","111 * 23 = 2553"
"125 * 159","125 * 159 = 19875"
"51 * 164","51 * 164 = 8364"
"89 * 143","89 * 143 = 12727"
"13 * 50","13 * 50 = 650"
"150 * 185","150 * 185 = 27750"
"167 * 149","167 * 149 = 24883"
"29 * 11","29 * 11 = 319"
"158 * 137","158 * 137 = 21646"
"35 * 112","35 * 112 = 3920"
"158 * 167","158 * 167 = 26386"
"7 * 34","7 * 34 = 238"
"123 * 110","123 * 110 = 13530"
"122 * 56","122 * 56 = 6832"
"69 * 183","69 * 183 = 12627"
"197 * 175","197 * 175 = 34475"
"168 * 135","168 * 135 = 22680"
"48 * 182","48 * 182 = 8736"
"123 * 93","123 * 93 = 11439"
"87 * 29","87 * 29 = 2523"
"37 * 128","37 * 128 = 4736"
"130 * 113","130 * 113 = 14690"
"34 * 197","34 * 197 = 6698"
"149 * 188","149 * 188 = 28012"
"32 * 34","32 * 34 = 1088"
"18 * 48","18 * 48 = 864"
"144 * 25","144 * 25 = 3600"
"90 * 82","90 * 82 = 7380"
"32 * 26","32 * 26 = 832"
"92 * 119","92 * 119 = 10948"
"94 * 53","94 * 53 = 4982"
"149 * 191","149 * 191 = 28459"
"183 * 191","183 * 191 = 34953"
"94 * 125","94 * 125 = 11750"
"80 * 43","80 * 43 = 3440"
"138 * 115","138 * 115 = 15870"
"30 * 4","30 * 4 = 120"
"183 * 194","183 * 194 = 35502"
"122 * 33","122 * 33 = 4026"
"135 * 166","135 * 166 = 22410"
"69 * 50","69 * 50 = 3450"
"182 * 198","182 * 198 = 36036"
"195 * 173","195 * 173 = 33735"
"187 * 186","187 * 186 = 34782"
"65 * 172","65 * 172 = 11180"
"190 * 151","190 * 151 = 28690"
"130 * 102","130 * 102 = 13260"
"144 * 188","144 * 188 = 27072"
"117 * 104","117 * 104 = 12168"
"198 * 151","198 * 151 = 29898"
"125 * 140","125 * 140 = 17500"
"136 * 111","136 * 111 = 15096"
"19 * 195","19 * 195 = 3705"
"47 * 92","47 * 92 = 4324"
"44 * 68","44 * 68 = 2992"
"113 * 38","113 * 38 = 4294"
"128 * 125","128 * 125 = 16000"
"28 * 113","28 * 113 = 3164"
"63 * 144","63 * 144 = 9072"
"84 * 118","84 * 118 = 9912"
"89 * 131","89 * 131 = 11659"
"161 * 13","161 * 13 = 2093"
"165 * 194","165 * 194 = 32010"
"73 * 191","73 * 191 = 13943"
"125 * 65","125 * 65 = 8125"
"200 * 89","200 * 89 = 17800"
"46 * 71","46 * 71 = 3266"
"148 * 193","148 * 193 = 28564"
"104 * 88","104 * 88 = 9152"
"69 * 36","69 * 36 = 2484"
"32 * 195","32 * 195 = 6240"
"8 * 74","8 * 74 = 592"
"32 * 179","32 * 179 = 5728"
"100 * 57","100 * 57 = 5700"
"33 * 30","33 * 30 = 990"
"197 * 6","197 * 6 = 1182"
"160 * 88","160 * 88 = 14080"
"152 * 76","152 * 76 = 11552"
"117 * 194","117 * 194 = 22698"
"170 * 177","170 * 177 = 30090"
"99 * 72","99 * 72 = 7128"
"11 * 197","11 * 197 = 2167"
"98 * 103","98 * 103 = 10094"
"170 * 141","170 * 141 = 23970"
"36 * 84","36 * 84 = 3024"
"137 * 82","137 * 82 = 11234"
"46 * 106","46 * 106 = 4876"
"86 * 57","86 * 57 = 4902"
"100 * 49","100 * 49 = 4900"
"77 * 83","77 * 83 = 6391"
"2 * 137","2 * 137 = 274"
"22 * 159","22 * 159 = 3498"
"49 * 80","49 * 80 = 3920"
"75 * 70","75 * 70 = 5250"
"165 * 107","165 * 107 = 17655"
"165 * 70","165 * 70 = 11550"
"336 / 24","336 / 24 = 14"
"148 / 37","148 / 37 = 4"
"1269 / 47","1269 / 47 = 27"
"1512 / 42","1512 / 42 = 36"
"1271 / 31","1271 / 31 = 41"
"287 / 41","287 / 41 = 7"
"60 / 12","60 / 12 = 5"
"2208 / 46","2208 / 46 = 48"
"456 / 12","456 / 12 = 38"
"1628 / 37","1628 / 37 = 44"
"390 / 26","390 / 26 = 15"
"132 / 12","132 / 12 = 11"
"1026 / 38","1026 / 38 = 27"
"65 / 5","65 / 5 = 13"
"693 / 21","693 / 21 = 33"
"408 / 12","408 / 12 = 34"
"620 / 20","620 / 20 = 31"
"1092 / 39","1092 / 39 = 28"
"459 / 17","459 / 17 = 27"
"372 / 12","372 / 12 = 31"
"418 / 38","418 / 38 = 11"
"150 / 3","150 / 3 = 50"
"1023 / 31","1023 / 31 = 33"
"703 / 37","703 / 37 = 19"
"62 / 31","62 / 31 = 2"
"247 / 19","247 / 19 = 13"
"1911 / 49","1911 / 49 = 39"
"64 / 8","64 / 8 = 8"
"1350 / 45","1350 / 45 = 30"
"120 / 4","120 / 4 = 30"
"1225 / 25","1225 / 25 = 49"
"164 / 41","164 / 41 = 4"
"456 / 24","456 / 24 = 19"
"110 / 11","110 / 11 = 10"
"660 / 22","660 / 22 = 30"
"855 / 19","855 / 19 = 45"
"288 / 48","288 / 48 = 6"
"644 / 23","644 / 23 = 28"
"2021 / 47","2021 / 47 = 43"
"390 / 10","390 / 10 = 39"
"154 / 7","154 / 7 = 22"
"1728 / 36","1728 / 36 = 48"
"114 / 38","114 / 38 = 3"
"960 / 30","960 / 30 = 32"
"80 / 40","80 / 40 = 2"
"1271 / 31","1271 / 31 = 41"
"1332 / 36","1332 / 36 = 37"
"100 / 10","100 / 10 = 10"
"192 / 4","192 / 4 = 48"
"156 / 26","156 / 26 = 6"
"234 / 39","234 / 39 = 6"
"238 / 34","238 / 34 = 7"
"126 / 21","126 / 21 = 6"
"828 / 46","828 / 46 = 18"
"420 / 35","420 / 35 = 12"
"81 / 27","81 / 27 = 3"
"816 / 17","816 / 17 = 48"
"70 / 5","70 / 5 = 14"
"78 / 3","78 / 3 = 26"
"96 / 32","96 / 32 = 3"
"57 / 19","57 / 19 = 3"
"1075 / 43","1075 / 43 = 25"
"602 / 14","602 / 14 = 43"
"27 / 9","27 / 9 = 3"
"660 / 20","660 / 20 = 33"
"1364 / 44","1364 / 44 = 31"
"476 / 17","476 / 17 = 28"
"164 / 4","164 / 4 = 41"
"144 / 48","144 / 48 = 3"
"116 / 29","116 / 29 = 4"
"744 / 31","744 / 31 = 24"
"35 / 35","35 / 35 = 1"
"172 / 4","172 / 4 = 43"
"765 / 45","765 / 45 = 17"
"540 / 18","540 / 18 = 30"
"170 / 17","170 / 17 = 10"
"414 / 23","414 / 23 = 18"
"180 / 5","180 / 5 = 36"
"891 / 27","891 / 27 = 33"
"294 / 49","294 / 49 = 6"
"799 / 17","799 / 17 = 47"
"1656 / 36","1656 / 36 = 46"
"912 / 48","912 / 48 = 19"
"1032 / 43","1032 / 43 = 24"
"646 / 19","646 / 19 = 34"
"15 / 3","15 / 3 = 5"
"1170 / 45","1170 / 45 = 26"
"338 / 13","338 / 13 = 26"
"513 / 27","513 / 27 = 19"
"464 / 16","464 / 16 = 29"
"286 / 13","286 / 13 = 22"
"154 / 7","154 / 7 = 22"
"1521 / 39","1521 / 39 = 39"
"63 / 9","63 / 9 = 7"
"26 / 13","26 / 13 = 2"
"210 / 5","210 / 5 = 42"
"49 / 1","49 / 1 = 49"
"517 / 47","517 / 47 = 11"
"828 / 18","828 / 18 = 46"
"1480 / 40","1480 / 40 = 37"
"1344 / 32","1344 / 32 = 42"
"444 / 37","444 / 37 = 12"
"1296 / 48","1296 / 48 = 27"
"105 / 35","105 / 35 = 3"
"76 / 38","76 / 38 = 2"
"18 / 18","18 / 18 = 1"
"143 / 11","143 / 11 = 13"
"1032 / 43","1032 / 43 = 24"
"920 / 40","920 / 40 = 23"
"627 / 19","627 / 19 = 33"
"1650 / 50","1650 / 50 = 33"
"1102 / 29","1102 / 29 = 38"
"1122 / 33","1122 / 33 = 34"
"48 / 16","48 / 16 = 3"
"235 / 47","235 / 47 = 5"
"44 / 11","44 / 11 = 4"
"370 / 37","370 / 37 = 10"
"882 / 21","882 / 21 = 42"
"16 / 1","16 / 1 = 16"
"120 / 10","120 / 10 = 12"
"666 / 37","666 / 37 = 18"
"920 / 46","920 / 46 = 20"
"60 / 3","60 / 3 = 20"
"340 / 20","340 / 20 = 17"
"1032 / 24","1032 / 24 = 43"
"287 / 41","287 / 41 = 7"
"470 / 47","470 / 47 = 10"
"666 / 37","666 / 37 = 18"
"984 / 41","984 / 41 = 24"
"1296 / 27","1296 / 27 = 48"
"779 / 19","779 / 19 = 41"
"1008 / 24","1008 / 24 = 42"
"1880 / 47","1880 / 47 = 40"
"380 / 38","380 / 38 = 10"
"288 / 6","288 / 6 = 48"
"57 / 19","57 / 19 = 3"
"666 / 18","666 / 18 = 37"
"1800 / 45","1800 / 45 = 40"
"2150 / 50","2150 / 50 = 43"
"350 / 7","350 / 7 = 50"
"312 / 26","312 / 26 = 12"
"464 / 29","464 / 29 = 16"
"171 / 19","171 / 19 = 9"
"351 / 13","351 / 13 = 27"
"1014 / 26","1014 / 26 = 39"
"240 / 16","240 / 16 = 15"
"231 / 21","231 / 21 = 11"
"312 / 13","312 / 13 = 24"
"330 / 30","330 / 30 = 11"
"320 / 32","320 / 32 = 10"
"155 / 5","155 / 5 = 31"
"627 / 33","627 / 33 = 19"
"80 / 16","80 / 16 = 5"
"250 / 10","250 / 10 = 25"
"342 / 38","342 / 38 = 9"
"480 / 10","480 / 10 = 48"
"408 / 24","408 / 24 = 17"
"252 / 6","252 / 6 = 42"
"561 / 17","561 / 17 = 33"
"231 / 33","231 / 33 = 7"
"297 / 9","297 / 9 = 33"
"1650 / 33","1650 / 33 = 50"
"1040 / 26","1040 / 26 = 40"
"902 / 41","902 / 41 = 22"
"136 / 34","136 / 34 = 4"
"598 / 46","598 / 46 = 13"
"132 / 33","132 / 33 = 4"
"147 / 21","147 / 21 = 7"
"897 / 39","897 / 39 = 23"
"150 / 25","150 / 25 = 6"
"2256 / 47","2256 / 47 = 48"
"1054 / 31","1054 / 31 = 34"
"294 / 7","294 / 7 = 42"
"825 / 25","825 / 25 = 33"
"360 / 45","360 / 45 = 8"
"156 / 12","156 / 12 = 13"
"1320 / 30","1320 / 30 = 44"
"84 / 6","84 / 6 = 14"
"1260 / 36","1260 / 36 = 35"
"104 / 8","104 / 8 = 13"
"216 / 27","216 / 27 = 8"
"1248 / 26","1248 / 26 = 48"
"1260 / 35","1260 / 35 = 36"
"798 / 19","798 / 19 = 42"
"391 / 23","391 / 23 = 17"
"980 / 20","980 / 20 = 49"
"192 / 4","192 / 4 = 48"
"506 / 23","506 / 23 = 22"
"1440 / 48","1440 / 48 = 30"
"555 / 15","555 / 15 = 37"
"870 / 29","870 / 29 = 30"
"1288 / 46","1288 / 46 = 28"
"115 / 23","115 / 23 = 5"
"153 / 9","153 / 9 = 17"
"484 / 11","484 / 11 = 44"
"900 / 25","900 / 25 = 36"
"504 / 36","504 / 36 = 14"
"1100 / 50","1100 / 50 = 22"
"484 / 22","484 / 22 = 22"
"72 / 12","72 / 12 = 6"
"182 / 7","182 / 7 = 26"
"588 / 21","588 / 21 = 28"
"888 / 24","888 / 24 = 37"
"299 / 13","299 / 13 = 23"
"476 / 14","476 / 14 = 34"
"748 / 34","748 / 34 = 22"
"700 / 25","700 / 25 = 28"
"432 / 48","432 / 48 = 9"
"1248 / 39","1248 / 39 = 32"
"672 / 16","672 / 16 = 42"
"39 / 39","39 / 39 = 1"
"70 / 10","70 / 10 = 7"
"16 / 4","16 / 4 = 4"
"775 / 25","775 / 25 = 31"
"144 / 18","144 / 18 = 8"
"100 / 2","100 / 2 = 50"
"1395 / 45","1395 / 45 = 31"
"252 / 28","252 / 28 = 9"
"192 / 4","192 / 4 = 48"
"210 / 5","210 / 5 = 42"
"60 / 12","60 / 12 = 5"
"78 / 26","78 / 26 = 3"
"1536 / 32","1536 / 32 = 48"
"1350 / 30","1350 / 30 = 45"
"672 / 42","672 / 42 = 16"
"48 / 4","48 / 4 = 12"
"728 / 26","728 / 26 = 28"
"410 / 10","410 / 10 = 41"
"1564 / 34","1564 / 34 = 46"
"261 / 9","261 / 9 = 29"
"396 / 11","396 / 11 = 36"
"1155 / 33","1155 / 33 = 35"
"1155 / 33","1155 / 33 = 35"
"304 / 38","304 / 38 = 8"
"120 / 40","120 / 40 = 3"
"320 / 40","320 / 40 = 8"
"132 / 22","132 / 22 = 6"
"200 / 8","200 / 8 = 25"
"28 / 1","28 / 1 = 28"
"256 / 16","256 / 16 = 16"
"1849 / 43","1849 / 43 = 43"
"1360 / 40","1360 / 40 = 34"
"1575 / 45","1575 / 45 = 35"
"1156 / 34","1156 / 34 = 34"
"84 / 6","84 / 6 = 14"
"1666 / 49","1666 / 49 = 34"
"336 / 24","336 / 24 = 14"
"650 / 50","650 / 50 = 13"
"264 / 44","264 / 44 = 6"
"735 / 49","735 / 49 = 15"
"308 / 7","308 / 7 = 44"
"1250 / 25","1250 / 25 = 50"
"442 / 13","442 / 13 = 34"
"2401 / 49","2401 / 49 = 49"
"690 / 30","690 / 30 = 23"
"720 / 18","720 / 18 = 40"
"308 / 28","308 / 28 = 11"
"232 / 8","232 / 8 = 29"
"720 / 36","720 / 36 = 20"
"154 / 22","154 / 22 = 7"
"275 / 25","275 / 25 = 11"
"58 / 29","58 / 29 = 2"
"1152 / 36","1152 / 36 = 32"
"1650 / 33","1650 / 33 = 50"
"900 / 45","900 / 45 = 20"
"560 / 14","560 / 14 = 40"
"200 / 50","200 / 50 = 4"
"270 / 45","270 / 45 = 6"
"41 / 41","41 / 41 = 1"
"780 / 26","780 / 26 = 30"
"168 / 7","168 / 7 = 24"
"216 / 27","216 / 27 = 8"
"120 / 20","120 / 20 = 6"
"475 / 25","475 / 25 = 19"
"860 / 20","860 / 20 = 43"
"2162 / 46","2162 / 46 = 47"
"1302 / 42","1302 / 42 = 31"
"528 / 44","528 / 44 = 12"
"646 / 17","646 / 17 = 38"
"234 / 6","234 / 6 = 39"
"1008 / 48","1008 / 48 = 21"
"1800 / 36","1800 / 36 = 50"
"145 / 5","145 / 5 = 29"
"1190 / 35","1190 / 35 = 34"
"756 / 28","756 / 28 = 27"
"44 / 4","44 / 4 = 11"
"80 / 20","80 / 20 = 4"
"270 / 10","270 / 10 = 27"
"155 / 31","155 / 31 = 5"
"1650 / 50","1650 / 50 = 33"
"400 / 10","400 / 10 = 40"
"920 / 46","920 / 46 = 20"
"624 / 16","624 / 16 = 39"
"6 / 6","6 / 6 = 1"
"1600 / 40","1600 / 40 = 40"
"2009 / 49","2009 / 49 = 41"
"117 / 3","117 / 3 = 39"
"90 / 5","90 / 5 = 18"
"192 / 12","192 / 12 = 16"
"888 / 37","888 / 37 = 24"
"630 / 45","630 / 45 = 14"
"588 / 12","588 / 12 = 49"
"128 / 16","128 / 16 = 8"
"352 / 16","352 / 16 = 22"
"1012 / 44","1012 / 44 = 23"
"1323 / 27","1323 / 27 = 49"
"1372 / 28","1372 / 28 = 49"
"26 / 2","26 / 2 = 13"
"570 / 15","570 / 15 = 38"
"1610 / 46","1610 / 46 = 35"
"72 / 3","72 / 3 = 24"
"1176 / 49","1176 / 49 = 24"
"310 / 10","310 / 10 = 31"
"39 / 1","39 / 1 = 39"
"1443 / 39","1443 / 39 = 37"
"279 / 31","279 / 31 = 9"
"102 / 34","102 / 34 = 3"
"1155 / 35","1155 / 35 = 33"
"880 / 22","880 / 22 = 40"
"320 / 16","320 / 16 = 20"
"385 / 35","385 / 35 = 11"
"648 / 36","648 / 36 = 18"
"390 / 15","390 / 15 = 26"
"432 / 9","432 / 9 = 48"
"1288 / 28","1288 / 28 = 46"
"696 / 24","696 / 24 = 29"
"600 / 24","600 / 24 = 25"
"750 / 50","750 / 50 = 15"
"1560 / 39","1560 / 39 = 40"
"1452 / 33","1452 / 33 = 44"
"40 / 4","40 / 4 = 10"
"1221 / 37","1221 / 37 = 33"
"656 / 16","656 / 16 = 41"
"656 / 16","656 / 16 = 41"
"1428 / 42","1428 / 42 = 34"
"252 / 7","252 / 7 = 36"
"945 / 45","945 / 45 = 21"
"1104 / 46","1104 / 46 = 24"
"350 / 25","350 / 25 = 14"
"43 / 43","43 / 43 = 1"
"2150 / 43","2150 / 43 = 50"
"1554 / 37","1554 / 37 = 42"
"18 / 6","18 / 6 = 3"
"369 / 9","369 / 9 = 41"
"275 / 25","275 / 25 = 11"
"896 / 32","896 / 32 = 28"
"123 / 3","123 / 3 = 41"
"352 / 11","352 / 11 = 32"
"30 / 6","30 / 6 = 5"
"720 / 48","720 / 48 = 15"
"667 / 29","667 / 29 = 23"
"96 / 24","96 / 24 = 4"
"1450 / 29","1450 / 29 = 50"
"700 / 28","700 / 28 = 25"
"400 / 16","400 / 16 = 25"
"756 / 36","756 / 36 = 21"
"884 / 34","884 / 34 = 26"
"533 / 13","533 / 13 = 41"
"950 / 50","950 / 50 = 19"
"250 / 50","250 / 50 = 5"
"396 / 36","396 / 36 = 11"
"140 / 10","140 / 10 = 14"
"1548 / 36","1548 / 36 = 43"
"475 / 19","475 / 19 = 25"
"1716 / 44","1716 / 44 = 39"
"1900 / 50","1900 / 50 = 38"
"1287 / 39","1287 / 39 = 33"
"1128 / 47","1128 / 47 = 24"
"132 / 4","132 / 4 = 33"
"1020 / 30","1020 / 30 = 34"
"319 / 29","319 / 29 = 11"
"480 / 15","480 / 15 = 32"
"1488 / 48","1488 / 48 = 31"
"8 / 1","8 / 1 = 8"
"612 / 36","612 / 36 = 17"
"476 / 34","476 / 34 = 14"
"84 / 7","84 / 7 = 12"
"152 / 4","152 / 4 = 38"
"1408 / 32","1408 / 32 = 44"
"264 / 11","264 / 11 = 24"
"931 / 19","931 / 19 = 49"
"1058 / 46","1058 / 46 = 23"
"507 / 39","507 / 39 = 13"
"2300 / 50","2300 / 50 = 46"
"1702 / 46","1702 / 46 = 37"
"765 / 45","765 / 45 = 17"
"1700 / 50","1700 / 50 = 34"
"1260 / 36","1260 / 36 = 35"
"154 / 22","154 / 22 = 7"
"1260 / 36","1260 / 36 = 35"
"465 / 31","465 / 31 = 15"
"240 / 8","240 / 8 = 30"
"936 / 24","936 / 24 = 39"
"561 / 17","561 / 17 = 33"
"360 / 45","360 / 45 = 8"
"966 / 23","966 / 23 = 42"
"1269 / 27","1269 / 27 = 47"
"1476 / 36","1476 / 36 = 41"
"1584 / 33","1584 / 33 = 48"
"484 / 44","484 / 44 = 11"
"216 / 6","216 / 6 = 36"
"432 / 9","432 / 9 = 48"
"64 / 8","64 / 8 = 8"
"465 / 15","465 / 15 = 31"
"270 / 30","270 / 30 = 9"
"495 / 45","495 / 45 = 11"
"1620 / 45","1620 / 45 = 36"
"414 / 18","414 / 18 = 23"
"966 / 46","966 / 46 = 21"
"423 / 47","423 / 47 = 9"
"462 / 22","462 / 22 = 21"
"1092 / 42","1092 / 42 = 26"
"765 / 45","765 / 45 = 17"
"363 / 33","363 / 33 = 11"
"1025 / 25","1025 / 25 = 41"
"70 / 10","70 / 10 = 7"
"115 / 23","115 / 23 = 5"
"1886 / 46","1886 / 46 = 41"
"1681 / 41","1681 / 41 = 41"
"1372 / 28","1372 / 28 = 49"
"704 / 32","704 / 32 = 22"
"12 / 4","12 / 4 = 3"
"1739 / 37","1739 / 37 = 47"
"540 / 27","540 / 27 = 20"
"172 / 43","172 / 43 = 4"
"418 / 22","418 / 22 = 19"
"768 / 24","768 / 24 = 32"
"39 / 1","39 / 1 = 39"
"141 / 47","141 / 47 = 3"
"1548 / 36","1548 / 36 = 43"
"432 / 9","432 / 9 = 48"
"135 / 45","135 / 45 = 3"
"94 / 47","94 / 47 = 2"
"135 / 45","135 / 45 = 3"
"432 / 27","432 / 27 = 16"
"315 / 15","315 / 15 = 21"
"290 / 29","290 / 29 = 10"
"121 / 11","121 / 11 = 11"
"152 / 19","152 / 19 = 8"
"640 / 32","640 / 32 = 20"
"65 / 13","65 / 13 = 5"
"525 / 15","525 / 15 = 35"
"720 / 30","720 / 30 = 24"
"324 / 9","324 / 9 = 36"
"168 / 42","168 / 42 = 4"
"175 / 25","175 / 25 = 7"
"729 / 27","729 / 27 = 27"
"1150 / 50","1150 / 50 = 23"
"528 / 16","528 / 16 = 33"
"759 / 23","759 / 23 = 33"
"432 / 16","432 / 16 = 27"
"1824 / 48","1824 / 48 = 38"
"672 / 21","672 / 21 = 32"
"40 / 4","40 / 4 = 10"
"198 / 6","198 / 6 = 33"
"94 / 47","94 / 47 = 2"
"868 / 31","868 / 31 = 28"
"360 / 45","360 / 45 = 8"
"84 / 3","84 / 3 = 28"
"42 / 21","42 / 21 = 2"
"819 / 39","819 / 39 = 21"
"460 / 23","460 / 23 = 20"
"1480 / 37","1480 / 37 = 40"
"1575 / 45","1575 / 45 = 35"
"810 / 45","810 / 45 = 18"
"47 / 47","47 / 47 = 1"
"14 / 7","14 / 7 = 2"
"1120 / 32","1120 / 32 = 35"
"135 / 9","135 / 9 = 15"
"288 / 48","288 / 48 = 6"
"450 / 30","450 / 30 = 15"
"1395 / 45","1395 / 45 = 31"
"902 / 22","902 / 22 = 41"
"644 / 14","644 / 14 = 46"
"19 / 19","19 / 19 = 1"
"792 / 18","792 / 18 = 44"
"310 / 31","310 / 31 = 10"
"364 / 13","364 / 13 = 28"
"760 / 38","760 / 38 = 20"
"459 / 17","459 / 17 = 27"
"1776 / 37","1776 / 37 = 48"
"56 / 4","56 / 4 = 14"
"2 / 2","2 / 2 = 1"
"1104 / 24","1104 / 24 = 46"
"95 / 19","95 / 19 = 5"
"245 / 35","245 / 35 = 7"
"24 / 8","24 / 8 = 3"
"1015 / 29","1015 / 29 = 35"
"285 / 19","285 / 19 = 15"
"598 / 46","598 / 46 = 13"
"1316 / 28","1316 / 28 = 47"
"820 / 20","820 / 20 = 41"
"884 / 26","884 / 26 = 34"
"735 / 49","735 / 49 = 15"
"1932 / 42","1932 / 42 = 46"
"34 / 17","34 / 17 = 2"
"48 / 48","48 / 48 = 1"
"102 / 17","102 / 17 = 6"
"1260 / 28","1260 / 28 = 45"
"297 / 9","297 / 9 = 33"
"27 / 1","27 / 1 = 27"
"172 / 43","172 / 43 = 4"
"630 / 42","630 / 42 = 15"
"1760 / 44","1760 / 44 = 40"
"648 / 24","648 / 24 = 27"
"198 / 18","198 / 18 = 11"
